instance,prep,geo-feature,placename,sum,or,'label exp1','label exp 2','label exp 3','label exp 4'
' ani project search share femal ident',for,1,0,1,1,0,0,0,0
' a share femal ident work may mislead',in,1,0,1,1,0,0,0,0
' mislead yet share endeavour women succeed their',by,1,0,1,1,0,0,0,0
' a share femal ident work may mislead',in,1,0,1,1,0,0,0,0
' their chosen field their term import',on,1,0,1,1,0,0,0,0
' four word describ effect propheci  vine expositori',of,0,1,1,1,0,0,0,0
' dictionari give follow definit one',for,0,1,1,1,0,0,0,0
' may come worst scuffl a doe',in,0,0,0,0,0,0,0,0
' worst some scuffl doe taken',over,0,0,0,0,0,0,0,0
' coat drape harri',over,0,0,0,0,1,1,0,1
'  the fairfax barbecu sandra birthday',for,0,1,1,1,0,0,0,0
' it veri foolish',of,0,0,0,0,0,0,0,0
' fill wonder the sound',with,0,0,0,0,0,0,0,0
' fill wonder sound the bazouki',at,0,0,0,0,0,0,0,0
' wonder sound the bazouki jacqu vassal',of,0,0,0,0,0,0,0,0
' sound the bazouki jacqu vassal comment  also',as,0,0,0,0,0,0,0,0
' wonder sound the bazouki jacqu vassal',of,0,0,0,0,0,0,0,0
' he wander upstag exit',towards,0,0,0,0,2,1,1,0
' oh way benjamin kill',by,1,0,1,1,0,0,0,0
' benjamin kill nobleman concern duel sword',in,1,0,1,1,0,0,0,0
' nobleman concern a duel sword leicest field',with,1,0,1,1,0,0,0,0
' benjamin kill nobleman concern duel sword',in,1,0,1,1,2,1,1,0
' middl anyon has dine crab lobster know',on,1,0,1,1,0,0,0,0
' well hard carapac anim protect soft',of,1,0,1,1,0,0,0,0
' a smudg make rub the',of,0,0,0,0,0,0,0,0
' smudg make rub back the hand',on,0,0,0,0,1,1,0,1
' a smudg make rub the',of,0,0,0,0,1,1,0,1
' a smudg make rub the',of,0,0,0,0,0,0,0,0
' lot agonis s buy hat tri',like,0,0,0,0,0,0,0,0
' like buy hat tri on foot',by,0,0,0,0,0,0,0,0
' smudg make rub back the hand',on,0,0,0,0,1,1,0,1
' a tini child london repeat',from,0,1,1,1,2,1,1,0
' ah sir practic mite',if,0,0,0,0,0,0,0,0
' we practic mite decept wo n',of,0,0,0,0,0,0,0,0
' and i go tomorrow ll',before,1,0,1,1,0,0,0,0
' joint letter the two point how well',of,1,0,1,1,0,0,0,0
' well get urg them not',without,1,0,1,1,0,0,0,0
' point he would money to help someon',without,0,0,0,0,0,0,0,0
' mrs parkin ask dexter blanch took packet',while,0,0,0,0,0,0,0,0
' blanch took packet chocol digest her file',of,0,0,0,0,0,0,0,0
' packet chocol digest file cabinet array',from,0,0,0,0,1,1,0,1
' file cabinet array a plate',on,0,0,0,0,1,1,0,1
' and i hope stepmoth appreci too',of,0,0,0,0,0,0,0,0
' and we could get back',if,0,0,0,0,0,0,0,0
' point i believ were explain me',about,0,0,0,0,0,0,0,0
' point i believ were explain me',about,0,0,0,0,0,0,0,0
' me this proposit',of,0,0,0,0,0,0,0,0
' skipper land felt extrem pleas and threw enorm',with,0,0,0,0,0,0,0,0
' skipper land felt extrem pleas and threw enorm',with,0,0,0,0,0,0,0,0
' enorm buck a twist',in,0,0,0,0,1,1,0,1
' tell you concern soul mock',for,0,0,0,0,0,0,0,0
' social worker demand david',of,0,0,0,0,0,0,0,0
' full time mother',As,1,0,1,1,0,0,0,0
' as full time mother pre school twin i',of,1,0,1,1,0,0,0,0
' school twin i thought i to put',that,1,0,1,1,0,0,0,0
' i to put sam bare conceal fling',with,1,0,1,1,0,0,0,0
' i to put sam bare conceal fling',with,1,0,1,1,0,0,0,0
' bastard cri bernard belabour jed fist splatter cheap red',with,0,1,1,1,0,0,0,0
' fist splatter cheap red wine book wall',over,0,1,1,1,1,1,0,1
' i prefer continu',Because,1,0,1,1,0,0,0,0
' prefer continu buy compani mr burn',from,1,0,1,1,0,0,0,0
' still sound mad',Because,0,0,0,0,0,0,0,0
' becaus still sound mad and i thought',at,0,0,0,0,0,0,0,0
' beth wrong she i wo',in,0,1,1,1,0,0,0,0
' i wo n deni i n',that,0,1,1,1,0,0,0,0
' i n know i ever forgiv',if,0,1,1,1,0,0,0,0
' bloodi good s brilliant rupert',of,0,0,0,0,0,0,0,0
' bought own money sir',with,0,0,0,0,0,0,0,0
' but long deliber all',after,0,0,0,0,0,0,0,0
' but a long deliber circumst the board',of,0,0,0,0,0,0,0,0
' agre sanction contest condit laid',on,0,0,0,0,0,0,0,0
' carpent father ask ting bewilder',with,0,1,1,1,0,0,0,0
' father ask a ting bewilder his voic',of,0,1,1,1,0,0,0,0
' a ting bewilder voic',in,0,1,1,1,0,0,0,0
' come sit she cri philippa',with,0,0,0,0,1,1,0,1
' philippa pat seat awn for',under,0,0,0,0,1,1,0,1
' seat an awn a favourit hound',as,0,0,0,0,0,0,0,0
' seat an awn a favourit hound',for,0,0,0,0,0,0,0,0
' daft not be abl',of,0,0,0,0,0,0,0,0
' said wife frown forehead a worri',on,0,0,0,0,1,1,0,1
' do be afraid anyon have rever',of,0,0,0,0,0,0,0,0
' anyon have rever christ',for,0,0,0,0,0,0,0,0
' n bleat me fair rasp tone',about,0,0,0,0,0,0,0,0
' estell delight thoma made mother',in,0,1,1,1,0,0,0,0
' ashley recal head rest chest',against,0,1,1,1,1,1,0,1
' blind man could see i hold the card',that,2,0,2,1,0,0,0,0
' i hold the card situat told',in,2,0,2,1,0,0,0,0
' situat told flat trail slowli miser',as,2,0,2,1,0,0,0,0
' trail slowli miser room behind',into,2,0,2,1,1,1,0,1
' miser the room',behind,2,0,2,1,1,1,0,1
' everyon seem pleas arrang philipp made',with,0,0,0,0,0,0,0,0
' get quick shout',down,0,0,0,0,1,1,0,1
' there quick shout nois the helicopt',above,0,0,0,0,0,0,0,0
' shout nois the helicopt engin',of,0,0,0,0,0,0,0,0
' get even big fat hermann',with,0,0,0,0,0,0,0,0
' i got anoth letter kid stretford',from,0,1,1,1,2,1,1,0
' anoth letter that kid stretford',in,0,1,1,1,2,1,1,0
' devlin said climb him',beside,0,0,0,0,1,1,0,1
' hang grunt antoni',on,0,1,1,1,0,0,0,0
' yet inquir abrupt august',of,0,0,0,0,0,0,0,0
' recent receiv april public hospit i like',of,0,0,0,0,0,0,0,0
' i like place record vast improv',on,0,0,0,0,0,0,0,0
' i like place record vast improv',on,0,0,0,0,0,0,0,0
' he speak high she said',of,0,0,0,0,0,0,0,0
' friend start take advantag persuad to spend',of,0,0,0,0,0,0,0,0
' to spend save and final stole',on,0,0,0,0,0,0,0,0
' them final stole one her flatmat',from,0,0,0,0,0,0,0,0
' friend start take advantag persuad to spend',of,0,0,0,0,0,0,0,0
' his wife thirsti power also mad',for,0,0,0,0,0,0,0,0
' good time said chris robinson trot energet the stage',before,0,1,1,1,0,0,0,0
' chris robinson trot energet stage',off,0,1,1,1,1,1,0,1
' tri put my guard some absurd',off,0,0,0,0,0,0,0,0
' put off guard absurd stori counter',with,0,0,0,0,0,0,0,0
' put off guard absurd stori counter',with,0,0,0,0,0,0,0,0
' put off guard absurd stori counter',with,0,0,0,0,0,0,0,0
' how much ask still sort tranc turn',in,0,0,0,0,0,0,0,0
' ask still a sort tranc turn brown lustr',of,0,0,0,0,0,0,0,0
' ask still a sort tranc turn brown lustr',of,0,0,0,0,0,0,0,0
' brown lustr her skin abyssinian maid then',into,0,0,0,0,0,0,0,0
' ask still a sort tranc turn brown lustr',of,0,0,0,0,0,0,0,0
' i leader the forti five member',of,0,0,0,0,0,0,0,0
' i leader the forti five member',of,0,0,0,0,0,0,0,0
' i uncertain futur at',about,0,0,0,0,0,0,0,0
' uncertain my futur the moment seem',as,0,0,0,0,0,0,0,0
' uncertain my futur the moment seem',at,0,0,0,0,0,0,0,0
' i veri disappoint jimmi',for,0,0,0,0,0,0,0,0
' i began yearn the moment left',for,0,0,0,0,0,0,0,0
' left told return',in,0,0,0,0,0,0,0,0
' ca n even talk futur the game',about,0,0,0,0,0,0,0,0
' even talk his futur game it',in,0,0,0,0,0,0,0,0
' futur the game s earli',because,0,0,0,0,0,0,0,0
' i compos few thing slack time journey googol',during,0,0,0,0,0,0,0,0
' thing slack time journey googol admit',on,0,0,0,0,0,0,0,0
' i could phone a problem he',with,0,0,0,0,0,0,0,0
' such insight he could steer through',that,0,0,0,0,0,0,0,0
' could steer it although he knew',through,0,0,0,0,0,0,0,0
' could steer through he knew littl',although,0,0,0,0,0,0,0,0
' although knew littl problem here',of,0,0,0,0,0,0,0,0
' littl the problem',over,0,0,0,0,0,0,0,0
' i specul said rebuk the govern',in,0,0,0,0,0,0,0,0
' govern attitud the advertis high return low',towards,0,0,0,0,0,0,0,0
' return low risk invest offer barlow clow',by,0,0,0,0,0,0,0,0
' known this bad club my career',at,0,0,0,0,2,1,1,0
' bad ani club career said',in,0,0,0,0,0,0,0,0
' i get complaint custom',from,0,0,0,0,0,0,0,0
' ferdi said peach nibbl fig had',on,0,0,0,0,0,0,0,0
' fig had pick garden',in,0,0,0,0,2,1,1,0
' then ring tonight outlin propos estim',with,0,0,0,0,0,0,0,0
' i reduc fifti per cent',by,0,0,0,0,0,0,0,0
' reduc by fifti cent',per,0,0,0,0,0,0,0,0
' i see mr morri speak',if,0,0,0,0,0,0,0,0
' mr morri speak',with,0,0,0,0,0,0,0,0
' said they laugh patter across floor',as,0,0,0,0,0,0,0,0
' laugh she patter floor her tip',across,0,0,0,0,1,1,0,1
' patter across floor tip toe',on,0,0,0,0,0,0,0,0
' back take envelop resign with',with,1,0,1,1,0,0,0,0
' envelop her resign her went',in,1,0,1,1,1,1,0,1
' back take envelop resign with',with,1,0,1,1,0,0,0,0
' went see head depart',of,1,0,1,1,0,0,0,0
' i no good anyth',at,0,0,0,0,0,0,0,0
' i sorri ma',about,0,0,0,0,0,0,0,0
' i upset she tri explain',with,0,0,0,0,0,0,0,0
' realis there nowher ireland offer sort',in,0,3,3,1,2,1,1,0
' ireland offer sort treatment decid do',of,0,3,3,1,0,0,0,0
' decid do someth said businessman',about,0,3,3,1,0,0,0,0
' said businessman commut northern ireland hong kong',between,0,3,3,1,2,1,1,0
' i reckon stepmoth must wore',of,0,0,0,0,0,0,0,0
' i remark glass dirti',about,0,0,0,0,0,0,0,0
' said get lost push and stagger down',past,0,0,0,0,1,1,0,1
' past and stagger the corridor',down,0,0,0,0,1,1,0,1
' i shout in english it',at,0,0,0,0,0,0,0,0
' i shout it english it kept',in,0,0,0,0,0,0,0,0
' english it kept',on,0,0,0,0,0,0,0,0
' i spent age crawl hotel foundat',around,1,0,1,1,1,1,0,1
' n find way',out,1,0,1,1,0,0,0,0
